"Name","ICAO","Location"
"Schameder","EDGQ","51° 0′ N, 8° 18′ O"
"Schleswig-Kropp","EDXC","54° 26′ N, 9° 33′ O"
"Schlierstadt-Seligenberg",,"49° 27′ N, 9° 22′ O"
"Schmallenberg-Rennefeld","EDKR","51° 10′ N, 8° 16′ O"
"Schmidgaden","EDPQ","49° 26′ N, 12° 6′ O"
"Schmoldow","EDBY","53° 58′ N, 13° 21′ O"
"Schönberg","EDPK","48° 3′ N, 12° 30′ O"
"Schönebeck-Zackmünde","EDOZ","52° 0′ N, 11° 47′ O"
"Schönhagen","EDAZ","52° 12′ N, 13° 9′ O"
"Schwabach-Heidenberg","EDPH","49° 16′ N, 11° 1′ O"
"Schwäbisch Hall","EDTY","49° 7′ N, 9° 47′ O"
"Schwäbisch Hall-Weckrieden","EDTX","49° 7′ N, 9° 47′ O"
"Schwabmünchen","EDNS","48° 11′ N, 10° 42′ O"
"Schwandorf","EDPF","49° 20′ N, 12° 11′ O"
"Schwarzheide/Schipkau","EDBZ","51° 29′ N, 13° 53′ O"
"Schweighofen","EDRO","49° 2′ N, 7° 59′ O"
"Schweinfurt-Süd","EDFS","50° 1′ N, 10° 15′ O"
"Schwenningen am Neckar","EDTS","48° 4′ N, 8° 34′ O"
"Seedorf","EDXS","53° 20′ N, 9° 16′ O"
"Segeletz","EDAI","52° 50′ N, 12° 33′ O"
"Sierksdorf/Hof-Altona","EDXT","54° 4′ N, 10° 45′ O"
"Soest/Bad Sassendorf","EDLZ","51° 35′ N, 8° 13′ O"
"Sömmerda-Dermsdorf","EDBS","51° 12′ N, 11° 12′ O"
"Sonnen","EDPS","48° 41′ N, 13° 42′ O"
"Speyer","EDRY","49° 18′ N, 8° 27′ O"
"Spremberg-Welzow","EDCY","51° 35′ N, 14° 8′ O"
"Sprossen","EDCH","51° 3′ N, 12° 14′ O"
"St. Michaelisdonn","EDXM","53° 59′ N, 9° 9′ O"
"St. Peter-Ording","EDXO","54° 19′ N, 8° 41′ O"
"Stade","EDHS","53° 34′ N, 9° 30′ O"
"Stadtlohn-Vreden","EDLS","52° 0′ N, 6° 50′ O"
"Stechow-Ferchesar","EDUA","52° 39′ N, 12° 29′ O"
"Stendal-Borstel","EDOV","52° 38′ N, 11° 49′ O"
"Stölln/Rhinow","EDOR","52° 44′ N, 12° 23′ O"
"Stralsund","EDBV","54° 20′ N, 13° 3′ O"
"Straubing","EDMS","48° 54′ N, 12° 31′ O"
"Strausberg","EDAY","52° 35′ N, 13° 55′ O"
"Suhl-Goldlauter","EDQS","50° 38′ N, 10° 44′ O"
"Tannheim","EDMT","48° 1′ N, 10° 6′ O"
"Taucha","EDCT","51° 24′ N, 12° 32′ O"
"Templin/Groß Dölln","EDUT","53° 2′ N, 13° 33′ O"
"Thalmässing-Waizenhofen","EDPW","49° 4′ N, 11° 13′ O"
"Thannhausen","EDNU","48° 17′ N, 10° 27′ O"
"Torgau-Beilrode","EDOG","51° 34′ N, 13° 3′ O"
"Traben-Trarbach/Mont Royal","EDRM","49° 58′ N, 7° 7′ O"
"Treuchtlingen-Bubenheim","EDNT","49° 0′ N, 10° 53′ O"
"Trier-Föhren","EDRT","49° 52′ N, 6° 47′ O"
"Tutow","EDUW","53° 55′ N, 13° 13′ O"
"Uelzen","EDVU","52° 59′ N, 10° 28′ O"
"Uetersen/Heist","EDHE","53° 39′ N, 9° 42′ O"
"Unterschüpf","EDGU","49° 31′ N, 9° 40′ O"
"Varrelbusch","EDWU","52° 54′ N, 8° 2′ O"
"Verden-Scharnhorst","EDWV","52° 58′ N, 9° 17′ O"
"Vilsbiburg","EDMP","48° 26′ N, 12° 21′ O"
"Vilshofen","EDMV","48° 38′ N, 13° 12′ O"
"Vogtareuth","EDNV","47° 57′ N, 12° 12′ O"
"Wahlstedt","EDHW","53° 58′ N, 10° 13′ O"
"Walldorf","EDGX","49° 18′ N, 8° 40′ O"
"Walldürn","EDEW","49° 35′ N, 9° 24′ O"
"Wangerooge","EDWG","53° 47′ N, 7° 55′ O"
"Waren-Vielist","EDOW","53° 34′ N, 12° 39′ O"
"Wasserkuppe","EDER","50° 30′ N, 9° 57′ O"
"Weiden/Opf.","EDQW","49° 41′ N, 12° 7′ O"
"Weimar-Umpferstedt","EDOU","50° 58′ N, 11° 24′ O"
"Weinheim/Bergstraße","EDGZ","49° 34′ N, 8° 37′ O"
"Weißenhorn","EDNW","48° 17′ N, 10° 8′ O"
"Welzow-Sedlitzer See","EDUY","51° 33′ N, 14° 6′ O"
"Werdohl-Küntrop","EDKW","51° 18′ N, 7° 49′ O"
"Werneuchen","EDBW","52° 38′ N, 13° 46′ O"
"Wershofen/Eifel","EDRV","50° 27′ N, 6° 47′ O"
"Wesel-Römerwardt","EDLX","51° 40′ N, 6° 36′ O"
"Weser-Wümme","EDWM","53° 3′ N, 9° 13′ O"
"Westerstede-Felde","EDWX","53° 17′ N, 7° 56′ O"
"Wiefelstede/Conneforde","EDWP","53° 19′ N, 8° 4′ O"
"Winzeln-Schramberg","EDTW","48° 17′ N, 8° 26′ O"
"Wipperfürth-Neye","EDKN","51° 7′ N, 7° 22′ O"
"Wismar","EDCW","53° 55′ N, 11° 30′ O"
"Wolfhagen „Graner Berg“","EDGW","51° 18′ N, 9° 11′ O"
"Worms","EDFV","49° 36′ N, 8° 22′ O"
"Würzburg-Schenkenturm","EDFW","49° 49′ N, 9° 54′ O"
"Wyk auf Föhr","EDXY","54° 41′ N, 8° 32′ O"
"Zell-Haidberg","EDNZ","50° 8′ N, 11° 48′ O"
"Zerbst","EDUZ","52° 0′ N, 12° 9′ O"
"Zwickau","EDBI","50° 42′ N, 12° 27′ O"
